,name,price,imgURL
197,"realme C2 (Diamond Black, 32 GB)",7999.0,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/s/r/c2-32-b-rmx1941-realme-3-original-imaffnumfyvfzc8y.jpeg?q=70
198,"realme C2 (Diamond Blue, 32 GB)",7999.0,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/h/n/p/c2-32-b-rmx1941-realme-2-original-imaffnumygt8wgfx.jpeg?q=70
199,"realme 2 Pro (Black Sea, 128 GB)",14499.0,https://rukminim2.flixcart.com/image/312/312/jmi22kw0/mobile/t/v/g/realme-2-pro-rmx1801-original-imaf9e3vmfr9jewh.jpeg?q=70
200,"realme GT Neo 3 (Asphalt Black, 256 GB)",38999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/h/a/n/-original-imagetmezh7hj2zk.jpeg?q=70
201,"realme C11 (Rich Grey, 32 GB)",8999.0,https://rukminim2.flixcart.com/image/312/312/kcdp5zk0/mobile/g/t/z/realme-c11-rmx2185-original-imaftjf8nadztg9c.jpeg?q=70
202,"realme C1 (Navy Blue, 16 GB)",8990.0,https://rukminim2.flixcart.com/image/312/312/jmi22kw0/mobile/x/e/9/realme-c1-rmx1811-original-imaf9e7c6pw23b6h.jpeg?q=70
203,"realme C1 (Mirror Black, 16 GB)",8990.0,https://rukminim2.flixcart.com/image/312/312/jmi22kw0/mobile/k/y/k/realme-c1-rmx1811-original-imaf9e7csexsdstd.jpeg?q=70
204,"realme 6 Pro (Lightning Blue, 128 GB)",18999.0,https://rukminim2.flixcart.com/image/312/312/k7dnonk0/mobile/q/d/h/realme-6-pro-rbs0624in-original-imafpmftfgyfpndf.jpeg?q=70
205,"realme Narzo N53 (Feather Black, 128 GB)",12440.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/n/r/narzo-n53-rmx3761-realme-original-imagpygzxcuysz9k.jpeg?q=70
206,"realme X2 Pro (Lunar White, 256 GB)",33999.0,https://rukminim2.flixcart.com/image/312/312/k391w280/mobile/h/v/n/realme-x2-pro-rmx1931-original-imafmf59mzagxp2j.jpeg?q=70
